"SMILES	Canonical_Smiles"
"[H][C@@]1(O[C@@]2([H])O[C@H](C)[C@](C)(O)[C@@]2(C)[C@H]1O)\C=C\C=C\C=C\c1oc(=O)cc(OC)c1C	COC1=CC(=O)OC(=C1C)\C=C\C=C\C=C\[C@H]2O[C@H]3O[C@H](C)[C@](C)(O)[C@@]3(C)[C@H]2O"
"COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2c(cc(=O)oc2c1)-c1ccc(O)c(O)c1	COc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c3C(=CC(=O)Oc3c1)c4ccc(O)c(O)c4"
"COc1ccc(cc1O)-c1oc2cc(O)cc(O)c2c(=O)c1OC	COC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(OC)c(O)c3"
"CCC(O)CCCCCCC\C(=C/CC(O)=O)C(O)=O	CCC(O)CCCCCCC\C(=C/CC(=O)O)\C(=O)O"
"CC(C)c1ccc2c(c1)C(O)CC1C(C)(CCCC21C)C(O)=O	CC(C)c1ccc2c(c1)C(O)CC3C(C)(CCCC23C)C(=O)O"
"COc1ccccc1-c1cc(=O)c2c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(OC)c(OC)c2o1	COc1ccccc1C2=CC(=O)c3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(OC)c(OC)c3O2"
"CC(=O)OC\C=C(/CO)CC\C=C(/C)CC\C=C(/CC\C=C(/C)COC(C)=O)C(O)=O	C\C(=C/CC\C(=C\COC(=O)C)\CO)\CC\C=C(/CC\C=C(/C)\COC(=O)C)\C(=O)O"
"O[C@H]1CCC(=O)[C@H](O)Cc2ccc(O)c(c2)-c2cc(C1)ccc2O	O[C@H]1CCC(=O)[C@H](O)Cc2ccc(O)c(c2)c3cc(C1)ccc3O"
"CC1C2C3=CCC4C5(C)C[C@@H](O)[C@H](O)C(C)(CO)C5CCC4(C)C3(C)CCC2(CCC1=C)C(O)=O	CC1C2C3=CCC4C5(C)C[C@@H](O)[C@H](O)C(C)(CO)C5CCC4(C)C3(C)CCC2(CCC1=C)C(=O)O"
"COc1cc(\C=C\c2cc(O)cc(O)c2)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	COc1cc(\C=C\c2cc(O)cc(O)c2)ccc1O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O"
"CC1OC(=O)C23C(=C)C4(C)OC(=O)C12OC1(C4OC(C)=O)C(=C)C2(CCC(=O)OC2(C)C)CC(O)C31C	CC1OC(=O)C23C(=C)C4(C)OC(=O)C12OC5(C4OC(=O)C)C(=C)C6(CCC(=O)OC6(C)C)CC(O)C35C"
"CC1CC(C)C(=O)\C(C1)=C\CC(CC(N)=O)CC(O)=O	CC1CC(C)C(=O)\C(=C\CC(CC(=O)N)CC(=O)O)\C1"
"C\C(=C/CC[C@](C)(O)C=C)C(O)=O	C\C(=C/CC[C@](C)(O)C=C)\C(=O)O"
